Type,Radius,Length
0,36.53,53.05
1,0,29.15
0,57.04,70.14
1,0,164.63
0,43.52,36.37
0,29.82,21.58
0,66.87,156.97
0,120.49,29.44
0,29.99,80.07
0,35.14,81.21
1,0,30.52
0,40.4,87.92
0,69.75,54.74
0,62.12,86.8
0,119.38,67.48
0,59.44,17.31
0,42.74,37.28
0,36.63,31.95
0,41.43,36.13
0,86.5,59.67
1,0,91.53
0,123.68,42.58
0,25.63,69.44
0,157.38,27.87
1,0,175.01
0,26.61,75.74
0,122.93,21.48
0,390.12,44.65
0,24.4,36.82
0,206.89,39.87
1,0,116.91
0,91.79,351.3
1,0,88.14
0,29.24,60.49
1,0,104.58
0,27.29,47.89
0,115.06,26
0,194.77,23.74
0,47.4,35.11
0,60.25,37.12
0,67.95,50.51
0,89.38,22.52
0,27.15,28.24
0,53.07,49.75
0,59.07,32.07
0,90.9,56.73
0,263.16,49.74
0,33.05,45.64
1,0,179
0,36.53,1
